"cycle","time","temp","well","a600","strain"
1,0,28.5,"A1",0.0943000018596649,"CONTROL"
1,0,28.5,"A2",0.094700001180172,"DH5A"
1,0,28.5,"A3",0.0904999971389771,"DRAD"
1,0,28.5,"A4",0.0939000025391579,"CM1"
1,0,28.5,"A5",0.0908999964594841,"1FH2"
1,0,28.5,"A6",0.0930999964475632,"1F5"
1,0,28.5,"A7",0.0939999967813492,"1F1"
1,0,28.5,"B1",0.0912000015377998,"CONTROL"
1,0,28.5,"B2",0.138199999928474,"DH5A"
1,0,28.5,"B3",0.141299992799759,"DRAD"
1,0,28.5,"B4",0.125400006771088,"CM1"
1,0,28.5,"B5",0.109099999070168,"1FH2"
1,0,28.5,"B6",0.0891000032424927,"1F5"
1,0,28.5,"B7",0.090599998831749,"1F1"
1,0,28.5,"C1",0.0912000015377998,"CONTROL"
1,0,28.5,"C2",0.126399993896484,"DH5A"
1,0,28.5,"C3",0.131099998950958,"DRAD"
1,0,28.5,"C4",0.12890000641346,"CM1"
1,0,28.5,"C5",0.119300000369549,"1FH2"
1,0,28.5,"C6",0.117700003087521,"1F5"
1,0,28.5,"C7",0.092399999499321,"1F1"
1,0,28.5,"D1",0.093800000846386,"CONTROL"
1,0,28.5,"D2",0.115800000727177,"DH5A"
1,0,28.5,"D3",0.13510000705719,"DRAD"
1,0,28.5,"D4",0.141100004315376,"CM1"
1,0,28.5,"D5",0.124499998986721,"1FH2"
1,0,28.5,"D6",0.125,"1F5"
1,0,28.5,"D7",0.0903000012040138,"1F1"
1,0,28.5,"E1",0.093699999153614,"CONTROL"
1,0,28.5,"E2",0.142800003290176,"DH5A"
1,0,28.5,"E3",0.129600003361702,"DRAD"
1,0,28.5,"E4",0.135299995541573,"CM1"
1,0,28.5,"E5",0.137999996542931,"1FH2"
1,0,28.5,"E6",0.12950000166893,"1F5"
1,0,28.5,"E7",0.0912000015377998,"1F1"
1,0,28.5,"F1",0.0944000035524368,"CONTROL"
1,0,28.5,"F2",0.145699992775917,"DH5A"
1,0,28.5,"F3",0.150800004601479,"DRAD"
1,0,28.5,"F4",0.138999998569489,"CM1"
1,0,28.5,"F5",0.1283999979496,"1FH2"
1,0,28.5,"F6",0.126300007104874,"1F5"
1,0,28.5,"F7",0.111599996685982,"1F1"
1,0,28.5,"G1",0.0917000025510788,"CONTROL"
1,0,28.5,"G2",0.146799996495247,"DH5A"
1,0,28.5,"G3",0.135000005364418,"DRAD"
1,0,28.5,"G4",0.139400005340576,"CM1"
1,0,28.5,"G5",0.119699999690056,"1FH2"
1,0,28.5,"G6",0.093800000846386,"1F5"
1,0,28.5,"G7",0.0930000022053719,"1F1"
1,0,28.5,"H1",0.096900001168251,"CONTROL"
1,0,28.5,"H2",0.0952999964356422,"DH5A"
1,0,28.5,"H3",0.0964000001549721,"DRAD"
1,0,28.5,"H4",0.0907000005245209,"CM1"
1,0,28.5,"H5",0.0912000015377998,"1FH2"
1,0,28.5,"H6",0.0939000025391579,"1F5"
2,1799.9,29.8,"A1",0.0944,"CONTROL"
2,1799.9,29.8,"A2",0.0901,"DH5A"
2,1799.9,29.8,"A3",0.0904,"DRAD"
2,1799.9,29.8,"A4",0.0931,"CM1"
2,1799.9,29.8,"A5",0.0903,"1FH2"
2,1799.9,29.8,"A6",0.0936,"1F5"
2,1799.9,29.8,"A7",0.0932,"1F1"
2,1799.9,29.8,"B1",0.0918,"CONTROL"
2,1799.9,29.8,"B2",0.0898,"DH5A"
2,1799.9,29.8,"B3",0.0939,"DRAD"
2,1799.9,29.8,"B4",0.094,"CM1"
2,1799.9,29.8,"B5",0.0938,"1FH2"
2,1799.9,29.8,"B6",0.0894,"1F5"
2,1799.9,29.8,"B7",0.0905,"1F1"
2,1799.9,29.8,"C1",0.0911,"CONTROL"
2,1799.9,29.8,"C2",0.0912,"DH5A"
2,1799.9,29.8,"C3",0.0922,"DRAD"
2,1799.9,29.8,"C4",0.0948,"CM1"
2,1799.9,29.8,"C5",0.0922,"1FH2"
2,1799.9,29.8,"C6",0.096,"1F5"
2,1799.9,29.8,"C7",0.0928,"1F1"
2,1799.9,29.8,"D1",0.0938,"CONTROL"
2,1799.9,29.8,"D2",0.0901,"DH5A"
2,1799.9,29.8,"D3",0.0942,"DRAD"
2,1799.9,29.8,"D4",0.0944,"CM1"
2,1799.9,29.8,"D5",0.0837,"1FH2"
2,1799.9,29.8,"D6",0.0939,"1F5"
2,1799.9,29.8,"D7",0.0906,"1F1"
2,1799.9,29.8,"E1",0.0937,"CONTROL"
2,1799.9,29.8,"E2",0.0944,"DH5A"
2,1799.9,29.8,"E3",0.0887,"DRAD"
2,1799.9,29.8,"E4",0.0941,"CM1"
2,1799.9,29.8,"E5",0.0996,"1FH2"
2,1799.9,29.8,"E6",0.0969,"1F5"
2,1799.9,29.8,"E7",0.0913,"1F1"
2,1799.9,29.8,"F1",0.0946,"CONTROL"
2,1799.9,29.8,"F2",0.0922,"DH5A"
2,1799.9,29.8,"F3",0.0935,"DRAD"
2,1799.9,29.8,"F4",0.0943,"CM1"
2,1799.9,29.8,"F5",0.0908,"1FH2"
2,1799.9,29.8,"F6",0.0949,"1F5"
2,1799.9,29.8,"F7",0.1124,"1F1"
2,1799.9,29.8,"G1",0.0915,"CONTROL"
2,1799.9,29.8,"G2",0.091,"DH5A"
2,1799.9,29.8,"G3",0.0867,"DRAD"
2,1799.9,29.8,"G4",0.0956,"CM1"
2,1799.9,29.8,"G5",0.0942,"1FH2"
2,1799.9,29.8,"G6",0.0945,"1F5"
2,1799.9,29.8,"G7",0.0937,"1F1"
2,1799.9,29.8,"H1",0.0964,"CONTROL"
2,1799.9,29.8,"H2",0.0914,"DH5A"
2,1799.9,29.8,"H3",0.0964,"DRAD"
2,1799.9,29.8,"H4",0.091,"CM1"
2,1799.9,29.8,"H5",0.0915,"1FH2"
2,1799.9,29.8,"H6",0.095,"1F5"
3,3599.8,30.1,"A1",0.0946,"CONTROL"
3,3599.8,30.1,"A2",0.0902,"DH5A"
3,3599.8,30.1,"A3",0.0906,"DRAD"
3,3599.8,30.1,"A4",0.0919,"CM1"
3,3599.8,30.1,"A5",0.091,"1FH2"
3,3599.8,30.1,"A6",0.095,"1F5"
3,3599.8,30.1,"A7",0.0969,"1F1"
3,3599.8,30.1,"B1",0.093,"CONTROL"
3,3599.8,30.1,"B2",0.0902,"DH5A"
3,3599.8,30.1,"B3",0.0938,"DRAD"
3,3599.8,30.1,"B4",0.0942,"CM1"
3,3599.8,30.1,"B5",0.0943,"1FH2"
3,3599.8,30.1,"B6",0.0912,"1F5"
3,3599.8,30.1,"B7",0.0909,"1F1"
3,3599.8,30.1,"C1",0.0911,"CONTROL"
3,3599.8,30.1,"C2",0.0917,"DH5A"
3,3599.8,30.1,"C3",0.0922,"DRAD"
3,3599.8,30.1,"C4",0.095,"CM1"
3,3599.8,30.1,"C5",0.0932,"1FH2"
3,3599.8,30.1,"C6",0.0979,"1F5"
3,3599.8,30.1,"C7",0.0934,"1F1"
3,3599.8,30.1,"D1",0.094,"CONTROL"
3,3599.8,30.1,"D2",0.0909,"DH5A"
3,3599.8,30.1,"D3",0.0943,"DRAD"
3,3599.8,30.1,"D4",0.0946,"CM1"
3,3599.8,30.1,"D5",0.0846,"1FH2"
3,3599.8,30.1,"D6",0.0963,"1F5"
3,3599.8,30.1,"D7",0.0917,"1F1"
3,3599.8,30.1,"E1",0.0939,"CONTROL"
3,3599.8,30.1,"E2",0.095,"DH5A"
3,3599.8,30.1,"E3",0.0888,"DRAD"
3,3599.8,30.1,"E4",0.0945,"CM1"
3,3599.8,30.1,"E5",0.1003,"1FH2"
3,3599.8,30.1,"E6",0.0985,"1F5"
3,3599.8,30.1,"E7",0.092,"1F1"
3,3599.8,30.1,"F1",0.0952,"CONTROL"
3,3599.8,30.1,"F2",0.0932,"DH5A"
3,3599.8,30.1,"F3",0.0939,"DRAD"
3,3599.8,30.1,"F4",0.0943,"CM1"
3,3599.8,30.1,"F5",0.0912,"1FH2"
3,3599.8,30.1,"F6",0.0967,"1F5"
3,3599.8,30.1,"F7",0.113,"1F1"
3,3599.8,30.1,"G1",0.0919,"CONTROL"
3,3599.8,30.1,"G2",0.0917,"DH5A"
3,3599.8,30.1,"G3",0.0873,"DRAD"
3,3599.8,30.1,"G4",0.0963,"CM1"
3,3599.8,30.1,"G5",0.0948,"1FH2"
3,3599.8,30.1,"G6",0.0958,"1F5"
3,3599.8,30.1,"G7",0.0943,"1F1"
3,3599.8,30.1,"H1",0.0968,"CONTROL"
3,3599.8,30.1,"H2",0.0952,"DH5A"
3,3599.8,30.1,"H3",0.0963,"DRAD"
3,3599.8,30.1,"H4",0.0916,"CM1"
3,3599.8,30.1,"H5",0.0921,"1FH2"
3,3599.8,30.1,"H6",0.0959,"1F5"
4,5399.8,30.1,"A1",0.0944,"CONTROL"
4,5399.8,30.1,"A2",0.0913,"DH5A"
4,5399.8,30.1,"A3",0.0909,"DRAD"
4,5399.8,30.1,"A4",0.0931,"CM1"
4,5399.8,30.1,"A5",0.0928,"1FH2"
4,5399.8,30.1,"A6",0.0986,"1F5"
4,5399.8,30.1,"A7",0.1003,"1F1"
4,5399.8,30.1,"B1",0.0934,"CONTROL"
4,5399.8,30.1,"B2",0.0909,"DH5A"
4,5399.8,30.1,"B3",0.0939,"DRAD"
4,5399.8,30.1,"B4",0.0949,"CM1"
4,5399.8,30.1,"B5",0.0955,"1FH2"
4,5399.8,30.1,"B6",0.095,"1F5"
4,5399.8,30.1,"B7",0.0923,"1F1"
4,5399.8,30.1,"C1",0.0911,"CONTROL"
4,5399.8,30.1,"C2",0.0923,"DH5A"
4,5399.8,30.1,"C3",0.0921,"DRAD"
4,5399.8,30.1,"C4",0.0957,"CM1"
4,5399.8,30.1,"C5",0.0942,"1FH2"
4,5399.8,30.1,"C6",0.1032,"1F5"
4,5399.8,30.1,"C7",0.095,"1F1"
4,5399.8,30.1,"D1",0.0942,"CONTROL"
4,5399.8,30.1,"D2",0.0914,"DH5A"
4,5399.8,30.1,"D3",0.0942,"DRAD"
4,5399.8,30.1,"D4",0.0952,"CM1"
4,5399.8,30.1,"D5",0.0858,"1FH2"
4,5399.8,30.1,"D6",0.1002,"1F5"
4,5399.8,30.1,"D7",0.0935,"1F1"
4,5399.8,30.1,"E1",0.0935,"CONTROL"
4,5399.8,30.1,"E2",0.0957,"DH5A"
4,5399.8,30.1,"E3",0.0892,"DRAD"
4,5399.8,30.1,"E4",0.0947,"CM1"
4,5399.8,30.1,"E5",0.1006,"1FH2"
4,5399.8,30.1,"E6",0.1004,"1F5"
4,5399.8,30.1,"E7",0.0941,"1F1"
4,5399.8,30.1,"F1",0.0951,"CONTROL"
4,5399.8,30.1,"F2",0.0936,"DH5A"
4,5399.8,30.1,"F3",0.094,"DRAD"
4,5399.8,30.1,"F4",0.0944,"CM1"
4,5399.8,30.1,"F5",0.0916,"1FH2"
4,5399.8,30.1,"F6",0.0997,"1F5"
4,5399.8,30.1,"F7",0.1145,"1F1"
4,5399.8,30.1,"G1",0.0922,"CONTROL"
4,5399.8,30.1,"G2",0.0923,"DH5A"
4,5399.8,30.1,"G3",0.0876,"DRAD"
4,5399.8,30.1,"G4",0.0965,"CM1"
4,5399.8,30.1,"G5",0.0951,"1FH2"
4,5399.8,30.1,"G6",0.0972,"1F5"
4,5399.8,30.1,"G7",0.0953,"1F1"
4,5399.8,30.1,"H1",0.0952,"CONTROL"
4,5399.8,30.1,"H2",0.0947,"DH5A"
4,5399.8,30.1,"H3",0.0961,"DRAD"
4,5399.8,30.1,"H4",0.0921,"CM1"
4,5399.8,30.1,"H5",0.0926,"1FH2"
4,5399.8,30.1,"H6",0.0989,"1F5"
5,7199.8,30.1,"A1",0.0944,"CONTROL"
5,7199.8,30.1,"A2",0.0923,"DH5A"
5,7199.8,30.1,"A3",0.091,"DRAD"
5,7199.8,30.1,"A4",0.0964,"CM1"
5,7199.8,30.1,"A5",0.094,"1FH2"
5,7199.8,30.1,"A6",0.1043,"1F5"
5,7199.8,30.1,"A7",0.1092,"1F1"
5,7199.8,30.1,"B1",0.0936,"CONTROL"
5,7199.8,30.1,"B2",0.0917,"DH5A"
5,7199.8,30.1,"B3",0.0939,"DRAD"
5,7199.8,30.1,"B4",0.0962,"CM1"
5,7199.8,30.1,"B5",0.0964,"1FH2"
5,7199.8,30.1,"B6",0.1014,"1F5"
5,7199.8,30.1,"B7",0.101,"1F1"
5,7199.8,30.1,"C1",0.0913,"CONTROL"
5,7199.8,30.1,"C2",0.0933,"DH5A"
5,7199.8,30.1,"C3",0.0921,"DRAD"
5,7199.8,30.1,"C4",0.0973,"CM1"
5,7199.8,30.1,"C5",0.0961,"1FH2"
5,7199.8,30.1,"C6",0.1096,"1F5"
5,7199.8,30.1,"C7",0.1016,"1F1"
5,7199.8,30.1,"D1",0.0938,"CONTROL"
5,7199.8,30.1,"D2",0.0922,"DH5A"
5,7199.8,30.1,"D3",0.0943,"DRAD"
5,7199.8,30.1,"D4",0.0968,"CM1"
5,7199.8,30.1,"D5",0.0881,"1FH2"
5,7199.8,30.1,"D6",0.1066,"1F5"
5,7199.8,30.1,"D7",0.099,"1F1"
5,7199.8,30.1,"E1",0.0937,"CONTROL"
5,7199.8,30.1,"E2",0.0966,"DH5A"
5,7199.8,30.1,"E3",0.0894,"DRAD"
5,7199.8,30.1,"E4",0.0962,"CM1"
5,7199.8,30.1,"E5",0.1026,"1FH2"
5,7199.8,30.1,"E6",0.1068,"1F5"
5,7199.8,30.1,"E7",0.0985,"1F1"
5,7199.8,30.1,"F1",0.0947,"CONTROL"
5,7199.8,30.1,"F2",0.0947,"DH5A"
5,7199.8,30.1,"F3",0.0942,"DRAD"
5,7199.8,30.1,"F4",0.0959,"CM1"
5,7199.8,30.1,"F5",0.093,"1FH2"
5,7199.8,30.1,"F6",0.1045,"1F5"
5,7199.8,30.1,"F7",0.1166,"1F1"
5,7199.8,30.1,"G1",0.092,"CONTROL"
5,7199.8,30.1,"G2",0.0932,"DH5A"
5,7199.8,30.1,"G3",0.0881,"DRAD"
5,7199.8,30.1,"G4",0.0974,"CM1"
5,7199.8,30.1,"G5",0.0967,"1FH2"
5,7199.8,30.1,"G6",0.1015,"1F5"
5,7199.8,30.1,"G7",0.1003,"1F1"
5,7199.8,30.1,"H1",0.0965,"CONTROL"
5,7199.8,30.1,"H2",0.0944,"DH5A"
5,7199.8,30.1,"H3",0.0964,"DRAD"
5,7199.8,30.1,"H4",0.0935,"CM1"
5,7199.8,30.1,"H5",0.0932,"1FH2"
5,7199.8,30.1,"H6",0.103,"1F5"
6,8999.7,29.9,"A1",0.0945,"CONTROL"
6,8999.7,29.9,"A2",0.093,"DH5A"
6,8999.7,29.9,"A3",0.091,"DRAD"
6,8999.7,29.9,"A4",0.098,"CM1"
6,8999.7,29.9,"A5",0.0951,"1FH2"
6,8999.7,29.9,"A6",0.1183,"1F5"
6,8999.7,29.9,"A7",0.1206,"1F1"
6,8999.7,29.9,"B1",0.094,"CONTROL"
6,8999.7,29.9,"B2",0.093,"DH5A"
6,8999.7,29.9,"B3",0.0941,"DRAD"
6,8999.7,29.9,"B4",0.0994,"CM1"
6,8999.7,29.9,"B5",0.099,"1FH2"
6,8999.7,29.9,"B6",0.1125,"1F5"
6,8999.7,29.9,"B7",0.1131,"1F1"
6,8999.7,29.9,"C1",0.0916,"CONTROL"
6,8999.7,29.9,"C2",0.0955,"DH5A"
6,8999.7,29.9,"C3",0.0922,"DRAD"
6,8999.7,29.9,"C4",0.0997,"CM1"
6,8999.7,29.9,"C5",0.0977,"1FH2"
6,8999.7,29.9,"C6",0.1161,"1F5"
6,8999.7,29.9,"C7",0.11,"1F1"
6,8999.7,29.9,"D1",0.094,"CONTROL"
6,8999.7,29.9,"D2",0.0934,"DH5A"
6,8999.7,29.9,"D3",0.0944,"DRAD"
6,8999.7,29.9,"D4",0.0992,"CM1"
6,8999.7,29.9,"D5",0.0899,"1FH2"
6,8999.7,29.9,"D6",0.1133,"1F5"
6,8999.7,29.9,"D7",0.1053,"1F1"
6,8999.7,29.9,"E1",0.0939,"CONTROL"
6,8999.7,29.9,"E2",0.0973,"DH5A"
6,8999.7,29.9,"E3",0.0894,"DRAD"
6,8999.7,29.9,"E4",0.0994,"CM1"
6,8999.7,29.9,"E5",0.1048,"1FH2"
6,8999.7,29.9,"E6",0.1148,"1F5"
6,8999.7,29.9,"E7",0.1067,"1F1"
6,8999.7,29.9,"F1",0.0947,"CONTROL"
6,8999.7,29.9,"F2",0.0953,"DH5A"
6,8999.7,29.9,"F3",0.0943,"DRAD"
6,8999.7,29.9,"F4",0.099,"CM1"
6,8999.7,29.9,"F5",0.0947,"1FH2"
6,8999.7,29.9,"F6",0.1105,"1F5"
6,8999.7,29.9,"F7",0.1257,"1F1"
6,8999.7,29.9,"G1",0.0925,"CONTROL"
6,8999.7,29.9,"G2",0.0941,"DH5A"
6,8999.7,29.9,"G3",0.0883,"DRAD"
6,8999.7,29.9,"G4",0.1002,"CM1"
6,8999.7,29.9,"G5",0.0993,"1FH2"
6,8999.7,29.9,"G6",0.108,"1F5"
6,8999.7,29.9,"G7",0.1069,"1F1"
6,8999.7,29.9,"H1",0.0971,"CONTROL"
6,8999.7,29.9,"H2",0.0964,"DH5A"
6,8999.7,29.9,"H3",0.0961,"DRAD"
6,8999.7,29.9,"H4",0.096,"CM1"
6,8999.7,29.9,"H5",0.0948,"1FH2"
6,8999.7,29.9,"H6",0.1105,"1F5"
7,10799.7,30.1,"A1",0.0953,"CONTROL"
7,10799.7,30.1,"A2",0.0947,"DH5A"
7,10799.7,30.1,"A3",0.0912,"DRAD"
7,10799.7,30.1,"A4",0.1025,"CM1"
7,10799.7,30.1,"A5",0.0983,"1FH2"
7,10799.7,30.1,"A6",0.1342,"1F5"
7,10799.7,30.1,"A7",0.1218,"1F1"
7,10799.7,30.1,"B1",0.0934,"CONTROL"
7,10799.7,30.1,"B2",0.0952,"DH5A"
7,10799.7,30.1,"B3",0.0941,"DRAD"
7,10799.7,30.1,"B4",0.1063,"CM1"
7,10799.7,30.1,"B5",0.0995,"1FH2"
7,10799.7,30.1,"B6",0.1235,"1F5"
7,10799.7,30.1,"B7",0.1277,"1F1"
7,10799.7,30.1,"C1",0.0914,"CONTROL"
7,10799.7,30.1,"C2",0.0976,"DH5A"
7,10799.7,30.1,"C3",0.0923,"DRAD"
7,10799.7,30.1,"C4",0.1049,"CM1"
7,10799.7,30.1,"C5",0.0987,"1FH2"
7,10799.7,30.1,"C6",0.131,"1F5"
7,10799.7,30.1,"C7",0.1201,"1F1"
7,10799.7,30.1,"D1",0.0938,"CONTROL"
7,10799.7,30.1,"D2",0.0947,"DH5A"
7,10799.7,30.1,"D3",0.0944,"DRAD"
7,10799.7,30.1,"D4",0.1045,"CM1"
7,10799.7,30.1,"D5",0.0911,"1FH2"
7,10799.7,30.1,"D6",0.1303,"1F5"
7,10799.7,30.1,"D7",0.1183,"1F1"
7,10799.7,30.1,"E1",0.0937,"CONTROL"
7,10799.7,30.1,"E2",0.0985,"DH5A"
7,10799.7,30.1,"E3",0.0895,"DRAD"
7,10799.7,30.1,"E4",0.1044,"CM1"
7,10799.7,30.1,"E5",0.1058,"1FH2"
7,10799.7,30.1,"E6",0.1328,"1F5"
7,10799.7,30.1,"E7",0.1183,"1F1"
7,10799.7,30.1,"F1",0.0941,"CONTROL"
7,10799.7,30.1,"F2",0.0971,"DH5A"
7,10799.7,30.1,"F3",0.0944,"DRAD"
7,10799.7,30.1,"F4",0.1045,"CM1"
7,10799.7,30.1,"F5",0.0963,"1FH2"
7,10799.7,30.1,"F6",0.1275,"1F5"
7,10799.7,30.1,"F7",0.1355,"1F1"
7,10799.7,30.1,"G1",0.0925,"CONTROL"
7,10799.7,30.1,"G2",0.0962,"DH5A"
7,10799.7,30.1,"G3",0.0884,"DRAD"
7,10799.7,30.1,"G4",0.1061,"CM1"
7,10799.7,30.1,"G5",0.1001,"1FH2"
7,10799.7,30.1,"G6",0.1253,"1F5"
7,10799.7,30.1,"G7",0.1137,"1F1"
7,10799.7,30.1,"H1",0.0951,"CONTROL"
7,10799.7,30.1,"H2",0.0982,"DH5A"
7,10799.7,30.1,"H3",0.0963,"DRAD"
7,10799.7,30.1,"H4",0.1018,"CM1"
7,10799.7,30.1,"H5",0.0991,"1FH2"
7,10799.7,30.1,"H6",0.1226,"1F5"
8,12599.6,30.1,"A1",0.0948,"CONTROL"
8,12599.6,30.1,"A2",0.0975,"DH5A"
8,12599.6,30.1,"A3",0.0911,"DRAD"
8,12599.6,30.1,"A4",0.112,"CM1"
8,12599.6,30.1,"A5",0.1165,"1FH2"
8,12599.6,30.1,"A6",0.1608,"1F5"
8,12599.6,30.1,"A7",0.1403,"1F1"
8,12599.6,30.1,"B1",0.094,"CONTROL"
8,12599.6,30.1,"B2",0.0981,"DH5A"
8,12599.6,30.1,"B3",0.0942,"DRAD"
8,12599.6,30.1,"B4",0.1134,"CM1"
8,12599.6,30.1,"B5",0.1226,"1FH2"
8,12599.6,30.1,"B6",0.1621,"1F5"
8,12599.6,30.1,"B7",0.1344,"1F1"
8,12599.6,30.1,"C1",0.0914,"CONTROL"
8,12599.6,30.1,"C2",0.1,"DH5A"
8,12599.6,30.1,"C3",0.0922,"DRAD"
8,12599.6,30.1,"C4",0.112,"CM1"
8,12599.6,30.1,"C5",0.1155,"1FH2"
8,12599.6,30.1,"C6",0.1702,"1F5"
8,12599.6,30.1,"C7",0.13,"1F1"
8,12599.6,30.1,"D1",0.0943,"CONTROL"
8,12599.6,30.1,"D2",0.0967,"DH5A"
8,12599.6,30.1,"D3",0.0944,"DRAD"
8,12599.6,30.1,"D4",0.1111,"CM1"
8,12599.6,30.1,"D5",0.1075,"1FH2"
8,12599.6,30.1,"D6",0.1615,"1F5"
8,12599.6,30.1,"D7",0.1345,"1F1"
8,12599.6,30.1,"E1",0.0938,"CONTROL"
8,12599.6,30.1,"E2",0.0999,"DH5A"
8,12599.6,30.1,"E3",0.0892,"DRAD"
8,12599.6,30.1,"E4",0.1096,"CM1"
8,12599.6,30.1,"E5",0.1243,"1FH2"
8,12599.6,30.1,"E6",0.1636,"1F5"
8,12599.6,30.1,"E7",0.1298,"1F1"
8,12599.6,30.1,"F1",0.0951,"CONTROL"
8,12599.6,30.1,"F2",0.0984,"DH5A"
8,12599.6,30.1,"F3",0.0943,"DRAD"
8,12599.6,30.1,"F4",0.1119,"CM1"
8,12599.6,30.1,"F5",0.1156,"1FH2"
8,12599.6,30.1,"F6",0.1583,"1F5"
8,12599.6,30.1,"F7",0.1394,"1F1"
8,12599.6,30.1,"G1",0.0922,"CONTROL"
8,12599.6,30.1,"G2",0.0989,"DH5A"
8,12599.6,30.1,"G3",0.0884,"DRAD"
8,12599.6,30.1,"G4",0.1119,"CM1"
8,12599.6,30.1,"G5",0.1189,"1FH2"
8,12599.6,30.1,"G6",0.1539,"1F5"
8,12599.6,30.1,"G7",0.1298,"1F1"
8,12599.6,30.1,"H1",0.0961,"CONTROL"
8,12599.6,30.1,"H2",0.1,"DH5A"
8,12599.6,30.1,"H3",0.0962,"DRAD"
8,12599.6,30.1,"H4",0.1079,"CM1"
8,12599.6,30.1,"H5",0.1105,"1FH2"
8,12599.6,30.1,"H6",0.1601,"1F5"
9,14399.6,30.1,"A1",0.0957,"CONTROL"
9,14399.6,30.1,"A2",0.1027,"DH5A"
9,14399.6,30.1,"A3",0.0911,"DRAD"
9,14399.6,30.1,"A4",0.132,"CM1"
9,14399.6,30.1,"A5",0.13,"1FH2"
9,14399.6,30.1,"A6",0.1982,"1F5"
9,14399.6,30.1,"A7",0.1578,"1F1"
9,14399.6,30.1,"B1",0.0941,"CONTROL"
9,14399.6,30.1,"B2",0.1027,"DH5A"
